date,max_temp,min_temp
2026-08-10,17.6,9.8
2026-08-11,16.6,9.0
2026-08-12,16.8,6.5
2026-08-13,17.3,4.8
2026-08-14,17.8,5.1
2026-08-15,18.4,3.5
2026-08-16,15.7,5.0
